doc_id,total_word_count,filtered_text
APW19980314.0391,437,nairobi kenya ap thousand laborer student opposition politician saturday protest tax hike impose cash strap government accuse fail provide basic service beneath scorch sun sing anti government song chant moi show derision president daniel arap moi kenyas ruler 20 year voice vote 5000 protester approve resolution call government scrap new taxis convene convention write new constitution stop harass student street vendor halt ethnic violence government nt respond demand worker strike april 3 say kivutha kibwana national convention assembly group opposition political church civic leader organize rally crowd cheer support assembly call general strike fail past kenyan anger tax increase announce early month plug widen budget deficit price gas diesel go tax deduction revoke gift charity nonprofit organization face strike bank worker finance minister simeon nyachae delay plan raise taxis cut rate loan provide employer politician charge high taxis kenyan pay pocket government official wasteful project provide essential service repair crumble infrastructure like moi explain bring money steal say kenneth matiba run second moi 1992 election international monetary fund demand spending cut tax hike warn absence corrective measure kenyas overall budget deficit 1997 98 reach 39 percent gross domestic product double goal 17 percent imf year withhold dlrs 220 million loan kenya cite official corruption mismanagement contrast rally draw male student saturday rally attract laborer businessman woman demonstrate kamukunji ground grassy field nairobi kenyan gather dissatisfaction government people kenya meet time beat shed blood purchase right meet today blood say john munuve assembly leader protest peaceful police deploy july police kill dozen demonstrator press constitutional reform election december moi win fifth year term cm kjd
APW19980314.0392,211,oslo norway ap russia alexey prokurorov real challenger win 50 kilometer classical style cross country world cup race holmenkollen saturday clock 2 hour 32 minute 253 second norwegian chase odd bjorn hjelmeseth bjorn dahlie ander aukland erle jevne settle second fifth place prokurorov 1189 ahead hjelmeseth thoma alsgaard norway clinch world cup wednesday sweden 50k finishing 20th 801 point final overall standing dahlie winning winter olympian history nagano month finish second 678 point skier world cup race win dahlie time overall champion russia larissa lazutina win women overall title comfortably defeat teammate svetlana nageykina 2239 30k classical style race lazutina finish 141412 top final standing 773 point anita moen guidon norway 2286 lazutina russia julia chepalova fourth 2535 take fifth 30k bente martinsen norway secure second place overall 631 point italys stefania belmondo place 11th secured overall 558 point kk sn
APW19980314.0393,369,vatican city ap 10 year promise meeting jewish leader major vatican document holocaust ready vatican say saturday document public monday jewish group keenly await document continue heal jewish catholic relation vatican document landmark proportion jewish relation 1965 statement come second vatican council paul vi nostra aetate time condemn anti semitism say jews collectively blame crucifixion jesus pope john paul ii dedicate nearly 20 year old papacy improve relation church jews refer old brother century animosity word late document come sept 1 1987 meeting pope jewish leader castel gandolfo pontiff summer residence hill southeast rome unprecedented meeting hurriedly call anxiety build vatican jews boycott ceremony soon approach papal visit united state jew anger pope audience early year austrian president kurt waldheim accuse help deport jew nazi concentration camp allegation deny castel gandolfo meeting time jewish representative sit informal discussion pope representative 1987 meeting say vatican plan publish major document deal anti semitism genocide european jew nazi world war ii meeting john paul preside milestone improve relation jew include establishment diplomatic relation israel 1995 ground breaking step pope visit rome main synagogue 1986 fall pope tell vatican seminar anti jewish current christian theology century anti jewish prejudice figure deaden christian resistance toe nazi persecution jews disappointment jewish group pope steer clear blame church fd
APW19980314.0397,618,paris ap christian lacroix take big audience time warp rollercoaster ride saturday louvre carrousel area start look vaguely 1940 evita hairdo short flare skirt sharply tailor shoulder day wear day wear clothe soon go belle epoque evening modern star trek fabulous pearl fabric minimalism fashionable international runway day grab christian lacroix year find balance glamour efficiency say jean jacque picart lacroixs partner business house lvmh louis vuitton moet hennesy umbrella glamour undoubtedly die clothe day wear dressy collection tend fussy lacroix trouser suit tweedy masculine trouser ruffle lace organza victorian blouse tight sequin spattered knit dress faux mink applique high feather hat spangle tight show short clothe teeter boulevard hooker territory disco wonderful moment include excellent short carmine moire silk coat tie waist sky blue lace knit dress big fur collar long tweed coat gold black tiger stripe lame trapeze coat great frock coat remarkable tie dye effect silk skirt floppy 1930 pant look like winner sharply fit evening suit pant large structured shoulder lacroix evolve far away famous shawl sloped shoulder look opening day 10 year ago modern look clothe simply cut soft gown trouser outfit black gray white pearled diamante fabric milky way effect party scene complete victorian southern belle evening style cap fabulous red velvet gown crinoline decollete la scarlet ohara drape like curtain top little red topper riding hat early jean paul gaultier go arctic circle inspiration year ago friday night offering brilliant atmosphere hot smoky bar scene create wagram dance hall notorious tango paris model include naomi campbell dress like nanook north cavort smoked drank champagne kibitz audience bar siberian hat flap fur sequin end parkas good look tailor black white impression hippie outer space spite crazy combination like layered look long ethnic skirt fringe tunic stripe blazer admire folklore nordic knit handsome sweater knee length pant top like super taffeta coat excellent gray knit sleeveless tunic straight white pant winner double faced gray coat trouser suit impeccable evening wear north pole girl dress handsome nordic sweater iridescent taffeta skirt stripe skirt terrific short beige trench coat love say eminent english fashion historian colin mcdowell nanook north trace existentialism sp dgs
APW19980314.0398,100,heerenveen netherland ap germanys gunda niemann smash 3000 meter speedskate world record saturday time 4 minute 508 second shatter old record fellow german claudia pechstein stand 40713 niemann begin race calmly pick pace middle lap accelerate new record close lap indoor thialf ice stadium racing pair pechstein skate 40736 second place race time leave second niemann round championship sunday 5000 meter race leave mc
APW19980314.0399,99,heerenveen netherland ap germanys gunda niemann smash 3000 meter speedskate world record saturday time 4 minute 508 second shatter old record fellow german claudia pechstein stand 40713 niemann begin race calmly pick pace middle lap accelerate new record close lap indoor thialf ice stadium racing pair pechstein skate 40736 second place race time leave second niemann round championship sunday 5000 meter race leave
APW19980314.0402,209,oslo norway ap russia alexey prokurorov real challenger win 50 kilometer classical style cross country world cup race holmenkollen saturday clock 2 hour 32 minute 253 second norwegian chase odd bjorn hjelmeseth bjorn dahlie ander aukland erle jevne settle second fifth place prokurorov 1189 ahead hjelmeseth thoma alsgaard norway clinch world cup wednesday sweden 50k finishing 20th 801 point final overall standing dahlie winning winter olympian history nagano month finish second 678 point skier world cup race win dahlie time overall champion russia larissa lazutina win women overall title comfortably defeat teammate svetlana nageykina 2239 30k classical style race lazutina finish 141412 top final standing 773 point anita moen guidon norway 2286 lazutina russia julia chepalova fourth 2535 take fifth 30k bente martinsen norway secure second place overall 631 point italys stefania belmondo place 11th secured overall 558 point
APW19980314.0405,115,calcutta india ap firoz ali india shoot round par saturday ahead american dominate round 3 stroke lead dlrs 300000 classic india open lead ali round 67 match 64 canadian rick todd stroke course record royal calcutta golf club follow ali total 204 dean wilson 207 tim straub scott rowe 208 firoz play spectacularly today play round like tomorrow difficult catch say dean
APW19980314.0413,102,copenhagen denmark ap germanys david prinosil book place final dlrs 210000 copenhagen open saturday beat 4 seed jan siemerink netherland 6 3 7 6 7 5 semifinal second seed magnus gustafsson sweden beat kenneth carlsen denmark 6 4 5 7 6 2 prinosil play consistent game defeat poorly serve siemerink early tournament 25 year old german eliminate seed thoma johansson sweden time prinosil atp final win ostrava 1996
APW19980314.0414,162,moscow ap fire fighter battle 7 hour saturday extinguish blaze race newly construct office building st petersburg accord medium report injury report fire 40 percent building destroy itar tass news agency say floor 14 story building completely gutte low floor inundate water spray 52 fire truck work scene monetary estimate damage give construction glass concrete building house st petersburgs institute urban study furniture showroom business complete summer investigator work theory fire cause electric heater itar tass report cite police gen maj anatoly ponidelko city steam heating system neighborhood cut day ago non payment utility bill russian state television say ji
